scene,dataset,detector,standardized,n_px,n_anom,anom_frac,roc_auc,pr_auc,precision,recall,f1,runtime_s,peak_rss_mb,components,status,note
ang20170821t183707_105,had100,crd,True,4096,27,0.006591796875,0.9904608466908786,0.7976238357633219,0.06569343065693431,1.0,0.12328767123287672,29.930908447000547,866.106491,,ok,
ang20170821t183707_105,had100,fused,True,4096,27,0.006591796875,0.9512574752191366,0.3563752297787659,0.012442396313364055,1.0,0.024578971324533457,0.7612221099989256,60.09337,ace+index+rx+spatial,ok,
ang20170821t183707_106,had100,global_rx,True,4096,15,0.003662109375,0.9971575594217105,0.7764411173106824,0.20270270270270271,1.0,0.3370786516853933,0.14207713599898852,60.082854,,ok,
ang20170821t183707_106,had100,local_rx,True,4096,15,0.003662109375,0.981230090664053,0.6134866769080318,0.03325942350332594,1.0,0.06437768240343347,0.2733694030030165,35.539474,,ok,
ang20170821t183707_106,had100,kernel_rx,True,4096,15,0.003662109375,0.9808707016254186,0.36286482370552947,0.03138075313807531,1.0,0.06085192697768762,1.1382411119993776,169.712419,,ok,
ang20170821t183707_106,had100,crd,True,4096,15,0.003662109375,0.9871436739361268,0.4415922048009113,0.06818181818181818,1.0,0.1276595744680851,28.217342186995666,866.106491,,ok,
ang20170821t183707_106,had100,fused,True,4096,15,0.003662109375,0.9982847341337908,0.7691866070437499,0.30612244897959184,1.0,0.46874999999999994,0.8774763599940343,60.093134,ace+index+rx+spatial,ok,
ang20170821t183707_107,had100,global_rx,True,4096,8,0.001953125,0.9995719178082192,0.8576330532212885,0.47058823529411764,1.0,0.6399999999999999,0.18018403599853627,60.082854,,ok,
ang20170821t183707_107,had100,local_rx,True,4096,8,0.001953125,0.9985934442270059,0.5882936507936507,0.3333333333333333,1.0,0.5,0.1764016650049598,35.539367,,ok,
ang20170821t183707_107,had100,kernel_rx,True,4096,8,0.001953125,1.0,1.0,1.0,1.0,1.0,1.1087342060054652,169.712417,,ok,
ang20170821t183707_107,had100,crd,True,4096,8,0.001953125,0.9992355675146771,0.7643837156995051,0.42105263157894735,1.0,0.5925925925925926,28.11698344800243,866.106491,,ok,
ang20170821t183707_107,had100,fused,True,4096,8,0.001953125,0.9957803326810175,0.5797959309115496,0.1568627450980392,1.0,0.2711864406779661,0.49949608300084947,60.093227,ace+index+rx+spatial,ok,
ang20170821t183707_108,had100,global_rx,True,4096,21,0.005126953125,0.9988548057259713,0.8053332832335487,0.4117647058823529,1.0,0.5833333333333334,0.12395001800177852,60.082854,,ok,
ang20170821t183707_108,had100,local_rx,True,4096,21,0.005126953125,0.9092491966111598,0.28004365140499576,0.013824884792626729,1.0,0.02727272727272727,0.40977394500077935,35.539566,,ok,
ang20170821t183707_108,had100,kernel_rx,True,4096,21,0.005126953125,0.9995910020449899,0.9382605043816898,0.6176470588235294,1.0,0.7636363636363637,1.094192339995061,169.712419,,ok,
ang20170821t183707_108,had100,crd,True,4096,21,0.005126953125,0.9943558282208589,0.6326025447164174,0.17073170731707318,1.0,0.2916666666666667,28.538144383994222,866.106491,,ok,
ang20170821t183707_108,had100,fused,True,4096,21,0.005126953125,0.9921939818872334,0.5869327741796693,0.08823529411764706,1.0,0.1621621621621622,0.8093000980006764,60.09313,ace+index+rx+spatial,ok,
ang20170821t183707_109,had100,global_rx,True,4096,14,0.00341796875,0.9992825645691888,0.8709322006314486,0.4666666666666667,1.0,0.6363636363636364,0.23883312799443956,60.082854,,ok,
ang20170821t183707_109,had100,local_rx,True,4096,14,0.00341796875,0.9663330300272975,0.5024196226101297,0.019858156028368795,1.0,0.03894297635605007,0.45483117399999173,35.539515,,ok,
ang20170821t183707_109,had100,kernel_rx,True,4096,14,0.00341796875,0.9997025267725904,0.9169012360188831,0.7777777777777778,1.0,0.8750000000000001,1.1173997209989466,169.712417,,ok,
ang20170821t183707_109,had100,crd,True,4096,14,0.00341796875,0.9967977881990621,0.6395146743937066,0.22580645161290322,1.0,0.3684210526315789,29.468760454001313,866.106491,,ok,
ang20170821t183707_109,had100,fused,True,4096,14,0.00341796875,0.997007769300763,0.8535912953114493,0.08536585365853659,1.0,0.15730337078651685,0.8270546690037008,60.093176,ace+index+rx+spatial,ok,
